epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,172.73,3.77123,0.20377,0.53585,2.98032,5.8211e-05,5.8211e-05,5.8211e-05
2,343.44,2.66731,0.35472,0.83774,1.86492,0.000114237,0.000114237,0.000114237
3,508.958,1.99336,0.55472,0.88679,1.3341,0.000167953,0.000167953,0.000167953
4,672.686,1.62962,0.70566,0.91698,0.99603,0.000164605,0.000164605,0.000164605
5,836.255,1.37325,0.76604,0.92075,0.74954,0.00016114,0.00016114,0.00016114
6,999.927,1.2204,0.8,0.94717,0.70475,0.000157675,0.000157675,0.000157675
7,1162.36,1.09581,0.81132,0.95849,0.62654,0.00015421,0.00015421,0.00015421
8,1325.49,0.99943,0.85283,0.98113,0.46379,0.000150745,0.000150745,0.000150745
9,1498.02,0.93503,0.88302,0.98113,0.40821,0.00014728,0.00014728,0.00014728
10,1666.57,0.86908,0.88679,0.98868,0.38894,0.000143815,0.000143815,0.000143815
11,1828.17,0.82575,0.91698,0.99623,0.27205,0.00014035,0.00014035,0.00014035
12,1981.47,0.77769,0.89811,0.98113,0.32101,0.000136885,0.000136885,0.000136885
13,2137.03,0.74035,0.90189,0.98868,0.2888,0.00013342,0.00013342,0.00013342
14,2289.36,0.70957,0.91698,0.99245,0.24508,0.000129955,0.000129955,0.000129955
15,2441.69,0.68195,0.92453,1,0.24158,0.00012649,0.00012649,0.00012649
16,2593.96,0.65447,0.91698,1,0.25643,0.000123025,0.000123025,0.000123025
17,2745.97,0.64653,0.93585,0.99623,0.21504,0.00011956,0.00011956,0.00011956
18,2897.73,0.5953,0.9283,0.99623,0.24217,0.000116095,0.000116095,0.000116095
19,3050.61,0.58594,0.93585,0.99245,0.18349,0.00011263,0.00011263,0.00011263
20,3203,0.57421,0.95094,0.99245,0.15739,0.000109165,0.000109165,0.000109165
21,3360.3,0.54759,0.95472,0.99623,0.17905,0.0001057,0.0001057,0.0001057
22,3512.52,0.53551,0.94717,1,0.16229,0.000102235,0.000102235,0.000102235
23,3665.7,0.5169,0.93585,1,0.15772,9.877e-05,9.877e-05,9.877e-05
24,3821.39,0.51258,0.95094,1,0.13836,9.5305e-05,9.5305e-05,9.5305e-05
25,3974.64,0.4933,0.95849,0.99245,0.14862,9.184e-05,9.184e-05,9.184e-05
26,4128.8,0.48075,0.93585,0.99623,0.16278,8.8375e-05,8.8375e-05,8.8375e-05
27,4282.49,0.46151,0.9434,0.99623,0.14408,8.491e-05,8.491e-05,8.491e-05
28,4436.33,0.45768,0.94717,1,0.13642,8.1445e-05,8.1445e-05,8.1445e-05
29,4593.42,0.44592,0.93962,1,0.15415,7.798e-05,7.798e-05,7.798e-05
30,4752.38,0.42729,0.95094,0.99623,0.13979,7.4515e-05,7.4515e-05,7.4515e-05
31,4904.82,0.42092,0.95472,0.99623,0.13376,7.105e-05,7.105e-05,7.105e-05
32,5074.14,0.41356,0.95094,0.99623,0.12098,6.7585e-05,6.7585e-05,6.7585e-05
33,5235.42,0.42083,0.95472,0.99623,0.13279,6.412e-05,6.412e-05,6.412e-05
34,5407.83,0.39138,0.95472,0.99623,0.10825,6.0655e-05,6.0655e-05,6.0655e-05
35,5563.39,0.37764,0.94717,0.99623,0.11977,5.719e-05,5.719e-05,5.719e-05
36,5716.38,0.37363,0.94717,0.99623,0.12186,5.3725e-05,5.3725e-05,5.3725e-05
37,5887.5,0.3914,0.95094,0.99623,0.12044,5.026e-05,5.026e-05,5.026e-05
38,6072.64,0.37291,0.95472,0.99623,0.11939,4.6795e-05,4.6795e-05,4.6795e-05
39,6226.38,0.37143,0.95849,1,0.12027,4.333e-05,4.333e-05,4.333e-05
40,6380.27,0.34813,0.96604,1,0.12512,3.9865e-05,3.9865e-05,3.9865e-05
41,6533.76,0.35596,0.95472,1,0.11241,3.64e-05,3.64e-05,3.64e-05
42,6687.34,0.35417,0.95472,1,0.11786,3.2935e-05,3.2935e-05,3.2935e-05
43,6841.31,0.34456,0.95094,1,0.12354,2.947e-05,2.947e-05,2.947e-05
44,7005.2,0.34209,0.94717,1,0.12448,2.6005e-05,2.6005e-05,2.6005e-05
45,7160.46,0.32185,0.95094,1,0.12811,2.254e-05,2.254e-05,2.254e-05
46,7315.89,0.32403,0.95849,1,0.11715,1.9075e-05,1.9075e-05,1.9075e-05
47,7470.53,0.31969,0.95094,1,0.10432,1.561e-05,1.561e-05,1.561e-05
48,7632.43,0.32113,0.95472,1,0.1073,1.2145e-05,1.2145e-05,1.2145e-05
49,7787.98,0.31128,0.95472,1,0.10401,8.68e-06,8.68e-06,8.68e-06
50,7949.99,0.31707,0.94717,1,0.10467,5.215e-06,5.215e-06,5.215e-06
